gene_id,B10_S1,B11_S2,B12_S3,D10_S4,D11_S5,D12_S6,H13_S7,H14_S8,H15_S9,L13_S10,L14_S11,L15_S12
FGRAM000v1_001089,9.884568,10.151917,3.776531,16.965543,14.180111,15.630525,7.545885,10.70431,3.240428,10.170584,15.73877,11.451461
FGRAM000v1_001090,16.315484,17.246986,15.212568,20.138189,18.561414,19.888818,15.597558,18.371818,14.245171,19.597175,16.52017,16.642393
FGRAM000v1_001091,7.414401,7.767184,7.240748,12.98763,13.030425,11.989296,10.427441,11.886984,9.731121,24.510153,24.960494,26.516691
FGRAM000v1_001092,16.238013,17.629436,16.654606,16.393535,14.657578,18.584868,19.991757,16.819361,17.766084,18.883225,14.666026,17.503364
FGRAM000v1_001093,4.368092,4.714783,4.118726,6.122925,5.724517,5.189506,5.244563,6.240361,4.16653,7.567414,6.613653,7.374412
FGRAM000v1_001094,4.398114,4.838341,4.275006,5.491394,4.865446,5.252226,3.703198,3.390762,2.60152,5.106529,4.579369,4.073041
FGRAM000v1_001095,53.997798,51.414773,43.720699,148.885219,147.108203,130.682755,61.140677,71.008685,60.960702,129.113166,127.547452,117.074757
FGRAM000v1_001096,0.975249,0.893479,0.533089,1.912293,1.374711,0.874332,0.830274,0.644614,1.284683,1.778685,1.473757,1.184889
FGRAM000v1_001097,31.507404,26.308792,31.475553,47.458814,44.398955,40.331874,40.226451,47.888432,43.575269,51.690479,50.383258,47.862295
FGRAM000v1_001098,2.107593,2.159446,2.028881,3.982679,5.325059,4.048747,2.2366,2.450821,2.251731,3.551935,3.452535,3.608314
FGRAM000v1_001099,10.756665,11.038714,7.303255,16.455842,19.09863,17.701257,10.377639,13.030875,11.658567,19.973001,19.25597,18.355397
FGRAM000v1_001100,31.914885,33.24662,28.847065,46.213613,46.059033,43.565064,30.060314,42.0361,34.063919,45.599834,45.398849,47.20152
FGRAM000v1_001101,49.24981,48.612837,45.122579,59.529185,61.82953,62.057589,54.774613,52.973881,52.330291,55.057803,59.380928,57.613299
FGRAM000v1_001102,0.0,0.0,0.0,9.973224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_001103,67.854646,70.089495,62.784813,48.575871,46.091904,49.410187,58.614825,66.387489,57.768328,41.09249,40.379557,35.951294
FGRAM000v1_001104,8.649093,8.814394,7.992516,11.406203,11.249344,11.620756,7.542755,10.796462,7.049116,13.169555,12.169897,9.710755
FGRAM000v1_001105,32.534785,40.259092,29.072789,31.39387,31.382944,26.746108,31.973751,45.833338,35.967382,37.448223,43.014671,46.462296
FGRAM000v1_001106,10.505847,14.905247,11.656337,14.536501,10.930335,14.028436,12.526582,14.901944,12.532049,15.901767,13.683515,12.223716
FGRAM000v1_001107,15.457081,18.011833,12.887039,39.654733,39.46495,40.481403,26.309479,38.410627,27.5052,44.505563,43.416281,46.024018
FGRAM000v1_001108,33.252105,37.092563,39.17759,37.280397,32.622688,36.273027,31.5954,27.531882,27.417646,30.764538,31.571122,30.363385
FGRAM000v1_001109,14.500188,15.893543,11.27955,13.587051,15.561388,15.035473,9.615087,12.719407,10.368204,17.912037,19.693198,18.139986
FGRAM000v1_001110,4.822894,5.236611,4.459433,4.944028,4.863068,5.047303,4.322715,6.556319,4.490627,7.260801,6.81018,6.216026
FGRAM000v1_001111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261813,0.192739,0.0
FGRAM000v1_001112,0.0,2.233943,0.734545,0.566926,0.0,0.71335,0.458787,0.629092,3.799086,1.379838,1.366485,0.0
FGRAM000v1_001113,0.127072,0.13852,0.404966,0.156923,0.16419,0.0,0.268965,0.34082,0.165889,0.120839,0.0,0.188439
FGRAM000v1_001114,0.0,0.250992,0.0,0.0,0.581845,0.33205,0.22909,0.298808,0.0,0.429179,0.0,0.340473
FGRAM000v1_001115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_001116,476.948253,468.814457,427.620174,1798.288428,1814.564639,1810.14165,1471.192788,1480.584955,1416.759703,760.930053,742.196421,731.341257
FGRAM000v1_001117,0.581679,0.0,0.0,0.0,0.382883,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_001118,5.021591,5.358394,4.759375,6.457159,6.793659,5.745951,7.756763,11.44799,9.709817,8.736395,9.240532,9.552924
FGRAM000v1_001119,7.746586,8.858718,8.287919,10.67428,10.57873,11.254201,6.945821,8.540221,9.073276,10.173056,9.958885,8.501617
FGRAM000v1_001120,19.573682,17.025068,18.078184,26.088223,23.250846,25.720825,21.136353,25.550649,20.86332,32.190834,31.263851,32.027517
FGRAM000v1_001121,5.850582,7.138784,6.257283,11.13828,9.775541,11.297715,4.753832,7.961997,3.516799,14.778339,15.735953,16.478311
FGRAM000v1_001122,4.673796,4.725876,4.330275,4.100856,4.742938,5.072161,4.042573,3.453699,3.695382,5.235813,4.351628,5.74193
FGRAM000v1_001123,27.475892,24.542382,20.50425,26.654896,25.831165,22.339003,13.684345,15.95837,15.705982,23.021725,27.967013,26.842359
FGRAM000v1_001124,8.897874,10.878437,12.04827,18.953783,15.12022,17.659922,15.127901,13.041971,15.342854,21.233554,17.991056,21.995721
FGRAM000v1_001125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_001126,7.263779,7.343418,4.303324,6.997308,4.910036,7.98751,6.840542,7.61137,3.803108,6.88339,7.439501,6.23065
FGRAM000v1_001127,2.127049,2.63844,2.641689,2.574464,2.955245,2.756479,3.689082,2.345618,4.485802,2.649813,1.495293,2.035455
FGRAM000v1_001128,0.0,0.14013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118041,0.0,0.0
FGRAM000v1_001129,107.923863,114.245669,88.400528,107.210031,114.584865,106.412177,80.350456,94.25232,81.116999,129.488053,124.886378,115.659671
FGRAM000v1_001130,8.037167,9.198845,5.537686,1.605935,2.872891,2.629301,4.539615,1.980213,4.475279,1.10739,1.448097,1.398881
FGRAM000v1_001131,2.736465,3.149325,1.596461,2.457295,2.279691,2.91972,2.167834,3.049239,4.754186,2.930155,1.934833,1.180417
FGRAM000v1_001132,2.861033,2.821612,2.271909,3.86693,3.745487,3.851804,3.483065,2.617142,2.583498,3.277008,2.322094,2.3608
FGRAM000v1_001133,34.715601,33.799841,27.172491,31.298773,30.42836,24.517816,34.690106,36.22349,35.171065,36.990557,39.639864,38.672432
FGRAM000v1_001134,68.510029,66.982796,51.549568,50.610493,54.043975,49.71381,77.971814,71.09279,68.64645,62.259911,57.599545,50.344428
FGRAM000v1_001135,76.845,57.211032,81.171305,76.837858,58.711861,61.853902,84.903101,83.300791,74.933585,79.602145,74.336826,76.356695
FGRAM000v1_001136,184.961791,186.846706,172.760173,223.161848,230.880217,222.729041,221.940849,232.490978,230.665816,244.92142,296.665477,273.276582
FGRAM000v1_001137,40.957946,42.514959,52.383526,54.447243,46.497333,59.808537,39.222333,30.002213,32.168486,49.893246,47.648677,48.119554
FGRAM000v1_001138,94.004657,93.968958,85.821632,126.048866,120.509005,121.228858,100.785411,108.941852,97.677818,114.234825,99.37243,97.050292
FGRAM000v1_001139,52.312014,48.84502,46.014975,61.366976,59.753022,62.162959,69.772806,72.475574,57.629787,72.775464,65.320984,71.605131
FGRAM000v1_001140,28.421892,25.383322,32.338371,34.801762,40.530342,35.063288,30.695136,31.215533,24.599256,25.567842,30.051641,31.658871
FGRAM000v1_001141,0.690269,0.150099,0.0,0.168286,0.0,0.0,0.0,0.731638,0.171244,0.126508,0.185774,0.0
FGRAM000v1_001142,10.723856,9.25637,8.36024,14.228924,13.899573,12.689801,10.009979,12.507592,10.03159,14.889069,14.329797,13.507459
FGRAM000v1_001143,6.60521,7.187398,7.273903,0.927764,1.404351,0.9187,2.730839,4.174645,4.4397,1.837975,2.209665,2.539046
FGRAM000v1_001144,14.782818,16.503838,14.619444,19.428234,17.046957,18.561334,14.857629,18.349536,14.894175,26.414292,22.648646,21.874215
FGRAM000v1_001145,4.430252,5.888811,8.983146,3.809068,4.408938,4.344676,4.874248,7.526525,6.00664,5.750857,5.725146,4.106485
FGRAM000v1_001146,26.42676,25.96997,27.078023,17.885206,17.239761,16.94638,18.837348,26.872107,21.126162,19.075982,19.501301,18.521338
FGRAM000v1_001147,26.390178,27.454352,21.638885,56.265125,55.04556,50.341675,32.21914,39.840872,31.742055,47.785994,46.28988,43.376868
FGRAM000v1_001148,345.588221,365.309181,277.464884,416.89952,426.821133,383.055588,332.491542,417.652949,339.657739,417.523615,441.287678,452.586819
FGRAM000v1_001149,106.914,100.941192,109.23419,143.118984,143.288879,139.126223,124.136582,129.691653,129.567134,135.419536,143.771638,122.512531
FGRAM000v1_001150,8.879031,9.548032,8.592677,9.94078,15.063768,11.503825,6.269476,8.931634,7.084287,11.118171,11.93335,13.28109
FGRAM000v1_001151,53.70018,41.96321,43.280578,59.141972,65.424123,54.61559,87.969017,85.997158,88.893781,94.936476,87.575402,86.926457
FGRAM000v1_001152,4.107662,4.801587,5.65057,6.843245,9.337643,7.724071,4.451598,6.611517,5.450311,10.940063,9.305113,11.81567
