"","B10_S1","B11_S2","B12_S3","D10_S4","D11_S5","D12_S6","H13_S7","H14_S8","H15_S9","L13_S10","L14_S11","L15_S12"
"FGRAM000v1_002677",6.63890505031218,6.55758514603379,6.67423143134487,6.63934516943943,6.68899795329201,6.55758514603379,6.6873236333438,6.55758514603379,6.65132080139331,6.66152025902424,6.55758514603379,6.55758514603379
"FGRAM000v1_002678",9.09229820053867,9.03034542722309,9.11994992474495,9.2765270041753,9.46224778628357,9.32455836544365,8.87142997019658,8.70328866630098,9.018040890191,8.96889591493596,8.82364081781299,9.0746811709223
"FGRAM000v1_002679",9.3735600639419,9.26336488634714,9.32424792814597,9.5061635824996,9.53596333479309,9.38935621332098,9.39107699515519,9.24041354490335,9.2337389901173,9.26749769478483,9.02173844481933,9.16773949291551
"FGRAM000v1_002680",8.81644573537382,8.81200106876316,8.77707412183003,9.12998758407743,9.30821520414422,9.2520688656614,9.38354121525611,9.37167847613333,9.48466126043038,9.76610887113492,9.78201588831802,9.6401433564837
"FGRAM000v1_002681",7.36085625785448,7.40319748264094,7.27064851460677,7.33791610448356,7.43877082264445,7.42084710122808,7.606922519208,7.46256740643038,7.58245442010714,7.62954454499085,7.72853846825593,7.64234208651448
"FGRAM000v1_002682",7.15068970647177,7.0705772173554,7.25479589043479,7.27979218935147,7.17276765493413,7.29325442117328,7.40624672022522,7.33174004568314,7.1987696034811,7.88419718697914,7.84599215128673,7.83385162481333
"FGRAM000v1_002683",6.55758514603379,6.55758514603379,6.55758514603379,6.55758514603379,6.55758514603379,6.55758514603379,6.6879151002864,6.55758514603379,6.55758514603379,6.55758514603379,6.55758514603379,6.55758514603379
"FGRAM000v1_002684",6.55758514603379,6.55758514603379,6.55758514603379,6.7551595194351,6.55758514603379,6.70111397218203,6.55758514603379,6.55758514603379,6.55758514603379,6.62270428819025,6.64134366597196,6.55758514603379
"FGRAM000v1_002685",6.63914978350182,6.55758514603379,6.66959876595256,6.55758514603379,6.55758514603379,6.70189714945328,6.55758514603379,6.79925674462498,6.55758514603379,6.62367643748663,6.55758514603379,6.64915072918682
"FGRAM000v1_002686",6.55758514603379,6.64022677153673,6.55758514603379,6.91458727990608,7.03762861475878,6.996344059141,6.72569796175776,6.73434299075233,6.78165760215316,7.1322743618301,7.13974142287265,7.07840937015472
"FGRAM000v1_002690",6.55758514603379,6.55758514603379,6.67065132792402,6.55758514603379,6.55758514603379,6.55758514603379,6.55758514603379,6.55758514603379,6.70192875839346,6.62256584307414,6.64160584376804,6.64811019720875
"FGRAM000v1_002692",11.2423335331306,11.2020424987525,11.2482337274289,10.9458059515431,10.9287882719705,10.908317267586,10.6688406060427,10.7116455203739,10.713324085804,10.6137767592457,10.6615784321083,10.6725508850162
"FGRAM000v1_002695",6.55758514603379,6.79075338525016,6.73521634341671,6.68709585669717,6.68854220423436,6.64961631667249,6.55758514603379,6.64599746035075,6.55758514603379,6.80244637604735,6.83855638087163,6.736520827779
"FGRAM000v1_002696",7.04690797895091,7.11573828758577,7.15689658281917,7.3171884925889,7.56559396591623,7.41121506044334,7.13239899373665,7.15858355400435,7.17627989699477,7.73955609654267,7.81633144316101,7.75808098785717
"FGRAM000v1_002697",7.83767796078102,7.94152858132977,7.56745389187374,8.84506841527375,8.89591752362141,8.76724691543214,7.95396527040242,8.21442487789415,8.07482903565579,9.89915453936495,9.90915531944466,9.76290031317038
"FGRAM000v1_002700",6.55758514603379,6.55758514603379,6.55758514603379,6.55758514603379,6.55758514603379,6.55758514603379,6.63715889907277,6.55758514603379,6.55758514603379,6.55758514603379,6.69342586160847,6.55758514603379
