"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FGRAM000v1_005762",154.704609991206,-0.488170293452772,0.132676274606528,-3.6794091098843,0.00023377498722505,0.000638124739840161
"FGRAM000v1_010460",32.1933726982431,1.13855922371242,0.309559216540403,3.67800137381409,0.000235068694072728,0.000641475464990697
"FGRAM000v1_013033",27.6306924265306,-1.16419951952263,0.31668196752777,-3.676241904808,0.000236695088942101,0.000645731915878353
"FGRAM000v1_001441",199.954236932767,0.448588963669704,0.122087969535971,3.67430931462528,0.000238493676444286,0.000650089765403393
"FGRAM000v1_001718",698.172949369491,0.285300300091469,0.0776448653346661,3.67442584724389,0.000238384861726896,0.000650089765403393
"FGRAM000v1_003275",530.759146031855,0.28860814610534,0.0785473561377053,3.67432031193216,0.000238483405492802,0.000650089765403393
"FGRAM000v1_001836",89.6901682214356,-0.841940832296133,0.229177155831182,-3.67375548074403,0.000239011467526592,0.000651318008078508
"FGRAM000v1_004276",424.980059416077,0.32955989239806,0.0897363398951716,3.67253548320609,0.000240155792220269,0.0006542524153994
"FGRAM000v1_001374",220.555584612969,0.450555104286816,0.12272158502101,3.67135988513902,0.000241263332684564,0.000657013283577112
"FGRAM000v1_003428",261.322246587147,0.398180845282356,0.108457252691377,3.67131598303902,0.000241304785879967,0.000657013283577112
"FGRAM000v1_001944",11.812559766795,1.93541197819239,0.527423282313104,3.66956113447308,0.000242967229343122,0.000661353932609627
"FGRAM000v1_006566",47.625831301541,0.879886022731943,0.239786839450926,3.66945085371134,0.000243072061053468,0.000661453533911078
"FGRAM000v1_001144",495.725286476493,0.329070527961751,0.0896917761389332,3.66890413065317,0.000243592397039033,0.00066268344218337
"FGRAM000v1_004485",590.467341506307,-0.307675028138274,0.0839120790771705,-3.66663573971654,0.000245762488227688,0.000668399494498029
"FGRAM000v1_000707",226.721790962548,-0.421741142252735,0.115113537572259,-3.66369717365344,0.000248600681139516,0.000675928864596165
"FGRAM000v1_007129",52.5558936551408,0.8015090368935,0.218944091085943,3.66079318659885,0.000251435655936454,0.000683445264439722
"FGRAM000v1_002474",25.0202222460146,1.27356465100614,0.347971009390454,3.65997343639937,0.000252241395798822,0.000685443187406217
"FGRAM000v1_012519",266.820974356116,-0.385907627776265,0.105449978397832,-3.65962737631246,0.000252582267751892,0.000686177107993018
"FGRAM000v1_009260",280.077383319539,-0.384034635997949,0.104976270864421,-3.65829946935281,0.000253894280175641,0.000689548124892823
"FGRAM000v1_012372",153.065583340378,0.488795449581228,0.133722474745843,3.65529766413797,0.000256883745465489,0.000697471749242853
"FGRAM000v1_007279",86.4038913244512,-0.654853038390253,0.179171339595483,-3.65489837754588,0.000257283868734602,0.000698362514602211
"FGRAM000v1_009663",3.98987771853777,4.31864477060091,1.18216638003327,3.65316155453462,0.000259031140484217,0.000702908411173996
"FGRAM000v1_003642",333.182043706362,-0.378967651746447,0.103740555966259,-3.65303278179563,0.000259161129975692,0.000703064324896272
"FGRAM000v1_008241",62.303689532862,0.722420599929816,0.19779361283917,3.65239599782846,0.000259804830365815,0.000704613380172313
"FGRAM000v1_008429",1674.4991489304,0.355319396904517,0.097320177370614,3.65103523754783,0.000261185398319595,0.000708159458996317
"FGRAM000v1_009077",2529.71385213835,0.355723452322551,0.0974588710281752,3.64998535864131,0.000262255257041967,0.000710861355287412
"FGRAM000v1_004139",304.956107183869,0.389213507902362,0.106698770385552,3.6477787559871,0.000264517259270172,0.000716792226476314
"FGRAM000v1_011099",1801.76256920556,-0.295404688678268,0.0809910198114048,-3.64737583705139,0.000264932263757153,0.000717716163386831
"FGRAM000v1_011610",507.172775767681,-0.325771025223057,0.0893224643593959,-3.6471343190028,0.000265181318658577,0.000718190142988987
"FGRAM000v1_011368",135.992255282945,0.535899610569216,0.146977120262727,3.64614308411591,0.000266205786980078,0.000720763322122317
"FGRAM000v1_000768",1960.45806637199,0.289940618985671,0.0795455142631485,3.64496504512503,0.000267428147206798,0.000723870715128593
"FGRAM000v1_012594",87.3712788053023,-0.803470402502329,0.220492077938007,-3.64398762085336,0.000268446336740115,0.00072642388107815
"FGRAM000v1_002184",747.783321143723,-0.251875699780907,0.0692091612085654,-3.63934044832398,0.00027333723248664,0.000739452356821936
"FGRAM000v1_009787",6.8576909626552,2.34790622694265,0.645454490906055,3.63760150409177,0.000275188754687368,0.000744253515397504
"FGRAM000v1_000926",307.143553425139,0.385666101528961,0.106053176154931,3.63653513748188,0.000276329964226316,0.000747131476498098
"FGRAM000v1_001257",212.65420584169,-0.52164814927484,0.143622094788476,-3.63208843349008,0.000281136737649928,0.000759915894601437
"FGRAM000v1_012593",117.323095696621,-0.53767203906178,0.148082591949205,-3.63089294956567,0.000282442325490447,0.000763232077217425
"FGRAM000v1_010057",10730.0719522475,0.200814141662353,0.0553130050901703,3.63050500212363,0.000282867222304052,0.000764167220120729
"FGRAM000v1_005542",19.2590982289899,-1.80434080658378,0.497186957328408,-3.62909923518358,0.000284411901482417,0.000768126096703559
"FGRAM000v1_012566",304.391987109132,-0.347155875366633,0.0956639698491924,-3.62890935755542,0.000284621146867687,0.000768477096542755
"FGRAM000v1_008292",373.892538447591,-0.368200052468491,0.101496396758074,-3.62771550743942,0.000285940079201039,0.000771823221302053
"FGRAM000v1_001433",165.828574917625,0.537517403439483,0.148274516198754,3.62515027679449,0.000288793469574719,0.000779308212858506
"FGRAM000v1_003325",136.940336121858,-0.612482467962406,0.168999313273087,-3.62417134188404,0.00028988938639881,0.000782047821420445
"FGRAM000v1_005597",17.041491018861,1.45457286155458,0.401417026407361,3.62359532821227,0.000290536052621723,0.000783384323429624
"FGRAM000v1_006806",267.704520151357,-0.38570352575222,0.106442490021354,-3.62358608554575,0.000290546439980347,0.000783384323429624
"FGRAM000v1_005129",50.5470055532372,0.781981705400807,0.215940569232031,3.6212820415443,0.000293146717495096,0.000790175509644038
"FGRAM000v1_005648",55.3849529103797,-0.818004106332398,0.225901797758256,-3.6210606309905,0.000293397739778927,0.00079063227458358
"FGRAM000v1_009018",95.1309771767024,0.617415695438756,0.170515499562238,3.6208772634971,0.000293605783485357,0.000790973001479591
"FGRAM000v1_002921",76.7862501583176,0.682420155039857,0.188554887058657,3.61921223939195,0.000295501208175365,0.000795858074699586
"FGRAM000v1_007216",61454.1092302901,0.377643241670454,0.104373715358346,3.61818337475,0.000296678166542068,0.000798805963414518
"FGRAM000v1_001049",2676.17765270103,0.37800824854673,0.104508222909496,3.61701919737058,0.000298015208663374,0.0008021831206815
"FGRAM000v1_011724",231.020896394168,-0.436601711121807,0.120739153935482,-3.61607396516218,0.000299104944298555,0.000804892899801747
"FGRAM000v1_008116",336.97507957405,0.41958624790259,0.116052452103938,3.61548799957111,0.000299782362705122,0.000806491934971066
"FGRAM000v1_000235",120.071296564853,0.546717413927882,0.151224740761277,3.61526434878092,0.000300041297785182,0.000806740721062904
"FGRAM000v1_009258",295.202269704911,-0.359295982306982,0.0993814905880711,-3.61532092325157,0.000299975778053733,0.000806740721062904
"FGRAM000v1_000962",49.7745257274412,-0.819765614873128,0.226769412044079,-3.61497438073254,0.000300377324510623,0.000807420245835128
"FGRAM000v1_006230",894.843231686277,-0.37068438411937,0.102584233015118,-3.61346352382184,0.000302133876405081,0.0008119167352355
"FGRAM000v1_002229",211.898249252644,-0.49007375003458,0.135662283257567,-3.61245394273757,0.000303312991822161,0.000814782334236028
"FGRAM000v1_012481",685.6188204788,-0.274943477997627,0.0761108883939296,-3.61240663194724,0.00030336835285854,0.000814782334236028
"FGRAM000v1_000664",365.327403648154,-0.377589253753842,0.104532163831421,-3.61218250836919,0.000303630741169184,0.000815261156275041
"FGRAM000v1_002901",209.021275553957,0.460213715442151,0.127455468661833,3.61078045747255,0.000305276994097423,0.00081945441810754
"FGRAM000v1_001492",82.2747031056113,-0.660999095256664,0.183098331752398,-3.6100771040914,0.000306105998632181,0.000821452227226394
"FGRAM000v1_002352",97.6464801085753,0.64117665023862,0.177651434253993,3.6091836405999,0.000307162115456925,0.000824058230037081
"FGRAM000v1_012111",12.9357267642742,1.71764191894308,0.476057499540563,3.60805558278308,0.000308500407519239,0.000827419604339785
"FGRAM000v1_012831",591.602157742629,-0.323493584948753,0.089667350667397,-3.6077076275922,0.000308914311020564,0.000828300530213644
"FGRAM000v1_007661",296.177703466894,0.4327102919208,0.119978258794696,3.60657252628781,0.000310268166869586,0.000831700592219829
