GO	go_name	go_namespace
GO:0000993	RNA polymerase II complex binding	MF
GO:0000994	RNA polymerase III core binding	MF
GO:0000995	RNA polymerase III general transcription initiation factor activity	MF
GO:0000999		
GO:0001012		
GO:0001015	snoRNA transcription by RNA polymerase II	BP
GO:0001016	RNA polymerase III transcription regulatory region sequence-specific DNA binding	MF
GO:0001021		
GO:0001023		
GO:0001026	obsolete TFIIIB-type transcription factor activity	MF
GO:0001041		
GO:0001042	RNA polymerase I core binding	MF
GO:0001047		
GO:0001054	obsolete RNA polymerase I activity	MF
GO:0001056	obsolete RNA polymerase III activity	MF
GO:0001068	transcription regulatory region RNA binding	MF
GO:0001073	transcription antitermination factor activity, DNA binding	MF
GO:0001075		
GO:0001076	obsolete transcription factor activity, RNA polymerase II transcription factor binding	MF
GO:0001077		
GO:0001078		
GO:0001080	obsolete nitrogen catabolite activation of transcription from RNA polymerase II promoter	BP
GO:0001082	obsolete transcription factor activity, RNA polymerase I transcription factor binding	MF
GO:0001085		
GO:0001089	obsolete transcription factor activity, TFIIF-class transcription factor binding	MF
GO:0001100	negative regulation of exit from mitosis	BP
GO:0001101	response to acid chemical	BP
GO:0001102		
GO:0001103		
GO:0001104		
GO:0001105		
GO:0001106		
GO:0001111	RNA polymerase II promoter clearance	BP
GO:0001112	DNA-templated transcription open complex formation	BP
GO:0001113	transcription open complex formation at RNA polymerase II promoter	BP
GO:0001128	obsolete RNA polymerase II transcription coactivator activity involved in preinitiation complex assembly	MF
GO:0001129	obsolete RNA polymerase II transcription factor activity, TBP-class protein binding, involved in preinitiation complex assembly	MF
GO:0001133		
GO:0001135	obsolete RNA polymerase II transcription regulator recruiting activity	MF
GO:0001139	obsolete RNA polymerase II complex recruiting activity	MF
GO:0001156	TFIIIC-class transcription factor complex binding	MF
GO:0001169	obsolete transcription factor activity, RNA polymerase I CORE element sequence-specific binding	MF
GO:0001172	RNA-templated transcription	BP
GO:0001174	transcriptional start site selection at RNA polymerase II promoter	BP
GO:0001178	regulation of transcriptional start site selection at RNA polymerase II promoter	BP
GO:0001179	RNA polymerase I general transcription initiation factor binding	MF
GO:0001180		
GO:0001181	RNA polymerase I general transcription initiation factor activity	MF
GO:0001186	obsolete RNA polymerase I transcription regulator recruiting activity	MF
GO:0001190	obsolete transcriptional activator activity, RNA polymerase II transcription factor binding	MF
GO:0001191	obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding	MF
GO:0001193	maintenance of transcriptional fidelity during transcription elongation by RNA polymerase II	BP
GO:0001197	obsolete positive regulation of mating-type specific transcription from RNA polymerase II promoter	BP
GO:0001198	obsolete negative regulation of mating-type specific transcription from RNA polymerase II promoter	BP
GO:0001208	obsolete histone H2A-H2B dimer displacement	BP
GO:0001300	obsolete chronological cell aging	BP
GO:0001302	obsolete replicative cell aging	BP
GO:0001308	obsolete negative regulation of chromatin silencing involved in replicative cell aging	BP
GO:0001319	obsolete inheritance of oxidatively modified proteins involved in replicative cell aging	BP
GO:0001320	obsolete age-dependent response to reactive oxygen species involved in chronological cell aging	BP
GO:0001324	obsolete age-dependent response to oxidative stress involved in chronological cell aging	BP
GO:0001400	mating projection base	CC
GO:0001401	SAM complex	CC
GO:0001402	signal transduction involved in filamentous growth	BP
GO:0001403	invasive growth in response to glucose limitation	BP
GO:0001405	PAM complex, Tim23 associated import motor	CC
GO:0001406	glycerophosphodiester transmembrane transporter activity	MF
GO:0001407	glycerophosphodiester transmembrane transport	BP
GO:0001409	guanine nucleotide transmembrane transporter activity	MF
GO:0001411	hyphal tip	CC
GO:0001522	pseudouridine synthesis	BP
GO:0001527	microfibril	CC
GO:0001558	regulation of cell growth	BP
GO:0001578	microtubule bundle formation	BP
GO:0001651	dense fibrillar component	CC
GO:0001664	G protein-coupled receptor binding	MF
GO:0001671	ATPase activator activity	MF
GO:0001676	long-chain fatty acid metabolic process	BP
GO:0001678	intracellular glucose homeostasis	BP
GO:0001680	tRNA 3'-terminal CCA addition	BP
GO:0001682	tRNA 5'-leader removal	BP
GO:0001731	formation of translation preinitiation complex	BP
GO:0001732	formation of cytoplasmic translation initiation complex	BP
GO:0001735	prenylcysteine oxidase activity	MF
GO:0001758	retinal dehydrogenase (NAD+) activity	MF
GO:0001760	aminocarboxymuconate-semialdehyde decarboxylase activity	MF
GO:0001786	phosphatidylserine binding	MF
GO:0001882	nucleoside binding	MF
GO:0001919	regulation of receptor recycling	BP
GO:0001927	exocyst assembly	BP
GO:0001965	G-protein alpha-subunit binding	MF
GO:0002084	protein depalmitoylation	BP
GO:0002092	positive regulation of receptor internalization	BP
GO:0002094	obsolete polyprenyltransferase activity	MF
GO:0002098	tRNA wobble uridine modification	BP
GO:0002107	generation of mature 3'-end of 5S rRNA generated by RNA polymerase III	BP
GO:0002109	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA,5S)	BP
GO:0002127	tRNA wobble base cytosine methylation	BP
GO:0002128	tRNA nucleoside ribose methylation	BP
GO:0002134	UTP binding	MF
GO:0002143	tRNA wobble position uridine thiolation	BP
GO:0002144	cytosolic tRNA wobble base thiouridylase complex	CC
GO:0002161	aminoacyl-tRNA deacylase activity	MF
GO:0002181	cytoplasmic translation	BP
GO:0002183	cytoplasmic translational initiation	BP
GO:0002184	cytoplasmic translational termination	BP
GO:0002188	translation reinitiation	BP
GO:0002189	ribose phosphate diphosphokinase complex	CC
GO:0002196	Ser-tRNA(Ala) deacylase activity	MF
GO:0002940	tRNA N2-guanine methylation	BP
GO:0002943	tRNA dihydrouridine synthesis	BP
GO:0002949	tRNA threonylcarbamoyladenosine modification	BP
GO:0003333	amino acid transmembrane transport	BP
GO:0003400	obsolete regulation of COPII vesicle coating	BP
GO:0003676	nucleic acid binding	MF
GO:0003677	DNA binding	MF
GO:0003678	DNA helicase activity	MF
GO:0003680	minor groove of adenine-thymine-rich DNA binding	MF
GO:0003682	chromatin binding	MF
GO:0003684	damaged DNA binding	MF
GO:0003688	DNA replication origin binding	MF
GO:0003689	DNA clamp loader activity	MF
GO:0003690	double-stranded DNA binding	MF
GO:0003691	double-stranded telomeric DNA binding	MF
GO:0003697	single-stranded DNA binding	MF
GO:0003700	DNA-binding transcription factor activity	MF
GO:0003712	transcription coregulator activity	MF
GO:0003713	transcription coactivator activity	MF
GO:0003714	transcription corepressor activity	MF
GO:0003721	obsolete telomerase RNA reverse transcriptase activity	MF
GO:0003723	RNA binding	MF
GO:0003724	RNA helicase activity	MF
GO:0003725	double-stranded RNA binding	MF
GO:0003727	single-stranded RNA binding	MF
GO:0003729	mRNA binding	MF
GO:0003730	mRNA 3'-UTR binding	MF
GO:0003735	structural constituent of ribosome	MF
GO:0003743	translation initiation factor activity	MF
GO:0003746	translation elongation factor activity	MF
GO:0003747	translation release factor activity	MF
GO:0003755	peptidyl-prolyl cis-trans isomerase activity	MF
GO:0003756	protein disulfide isomerase activity	MF
GO:0003774	cytoskeletal motor activity	MF
GO:0003777	microtubule motor activity	MF
GO:0003779	actin binding	MF
GO:0003785	actin monomer binding	MF
GO:0003824	catalytic activity	MF
GO:0003825	alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity	MF
GO:0003830	beta-1,4-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity	MF
GO:0003838	sterol 24-C-methyltransferase activity	MF
GO:0003839	gamma-glutamylcyclotransferase activity	MF
GO:0003840	obsolete gamma-glutamyltransferase activity	MF
GO:0003841	1-acylglycerol-3-phosphate O-acyltransferase activity	MF
GO:0003842	L-glutamate gamma-semialdehyde dehydrogenase (NAD+) activity	MF
GO:0003843	1,3-beta-D-glucan synthase activity	MF
GO:0003844	1,4-alpha-glucan branching enzyme activity	MF
GO:0003847	1-alkyl-2-acetylglycerophosphocholine esterase activity	MF
GO:0003848	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity	MF
GO:0003849	3-deoxy-7-phosphoheptulonate synthase activity	MF
GO:0003852	2-isopropylmalate synthase activity	MF
GO:0003854	3-beta-hydroxy-Delta5-steroid dehydrogenase (NAD+) activity	MF
GO:0003855	3-dehydroquinate dehydratase activity	MF
GO:0003856	3-dehydroquinate synthase activity	MF
GO:0003857	(3S)-3-hydroxyacyl-CoA dehydrogenase (NAD+) activity	MF
GO:0003860	3-hydroxyisobutyryl-CoA hydrolase activity	MF
GO:0003861	3-isopropylmalate dehydratase activity	MF
GO:0003862	3-isopropylmalate dehydrogenase activity	MF
GO:0003864	3-methyl-2-oxobutanoate hydroxymethyltransferase activity	MF
GO:0003865	3-oxo-5-alpha-steroid 4-dehydrogenase activity	MF
GO:0003866	3-phosphoshikimate 1-carboxyvinyltransferase activity	MF
GO:0003867	obsolete 4-aminobutyrate transaminase activity	MF
GO:0003868	4-hydroxyphenylpyruvate dioxygenase activity	MF
GO:0003870	5-aminolevulinate synthase activity	MF
GO:0003871	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity	MF
GO:0003872	6-phosphofructokinase activity	MF
GO:0003873	6-phosphofructo-2-kinase activity	MF
GO:0003876	AMP deaminase activity	MF
GO:0003877	ATP:ADP adenylyltransferase activity	MF
GO:0003879	ATP phosphoribosyltransferase activity	MF
GO:0003881	CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity	MF
GO:0003882	CDP-diacylglycerol-serine O-phosphatidyltransferase activity	MF
GO:0003883	CTP synthase activity	MF
GO:0003884	D-amino-acid oxidase activity	MF
GO:0003885	D-arabinono-1,4-lactone oxidase activity	MF
GO:0003887	DNA-directed DNA polymerase activity	MF
GO:0003896	obsolete DNA primase activity	MF
GO:0003899	DNA-directed RNA polymerase activity	MF
GO:0003904	deoxyribodipyrimidine photo-lyase activity	MF
GO:0003905	alkylbase DNA N-glycosylase activity	MF
GO:0003906	DNA-(apurinic or apyrimidinic site) endonuclease activity	MF
GO:0003908	methylated-DNA-[protein]-cysteine S-methyltransferase activity	MF
GO:0003909	DNA ligase activity	MF
GO:0003910	DNA ligase (ATP) activity	MF
GO:0003913	DNA photolyase activity	MF
GO:0003917	DNA topoisomerase type I (single strand cut, ATP-independent) activity	MF
GO:0003918	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity	MF
GO:0003919	FMN adenylyltransferase activity	MF
GO:0003922	GMP synthase (glutamine-hydrolyzing) activity	MF
GO:0003923	GPI-anchor transamidase activity	MF
GO:0003924	GTPase activity	MF
GO:0003934	GTP cyclohydrolase I activity	MF
GO:0003935	GTP cyclohydrolase II activity	MF
GO:0003937	IMP cyclohydrolase activity	MF
GO:0003938	IMP dehydrogenase activity	MF
GO:0003941	L-serine ammonia-lyase activity	MF
GO:0003942	N-acetyl-gamma-glutamyl-phosphate reductase (NADP+) activity	MF
