candidate,n_goi_partners,max_TOM,sum_TOM,goi_partners,module,product,GO
FGSG_12048,6,0.4231745871054678,2.498626473716113,FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329;FGSG_08083;FGSG_13952,2,uncharacterized protein,GO:0000981;GO:0003857;GO:0005634;GO:0006357;GO:0006631;GO:0008270;GO:0055114
FGSG_05957,6,0.430441297089156,2.4977544447756115,FGSG_02324;FGSG_02327;FGSG_03842;FGSG_08082;FGSG_08083;FGSG_13952,2,uncharacterized protein,GO:0072380
FGSG_01810,6,0.4383382834853557,2.49467441696247,FGSG_00007;FGSG_01866;FGSG_03532;FGSG_03881;FGSG_08083;FGSG_13952,2,uncharacterized protein,GO:0016787
FGSG_13825,6,0.4398370138177659,2.492680589952732,FGSG_00007;FGSG_02326;FGSG_02327;FGSG_03842;FGSG_08083;FGSG_13952,2,uncharacterized protein,GO:0005507;GO:0016021;GO:0016491;GO:0055114
FGSG_01962,6,0.436925991315174,2.49059362620352,FGSG_02272;FGSG_02461;FGSG_03061;FGSG_07075;FGSG_09456;FGSG_09834,1,argininosuccinate synthase,GO:0004055;GO:0005524;GO:0006526
FGSG_07336,6,0.43294543939713837,2.4888600691461873,FGSG_00330;FGSG_03546;FGSG_03548;FGSG_04458;FGSG_08601;FGSG_10347,1,uncharacterized protein,GO:0003747;GO:0005743;GO:0005762;GO:0006415;GO:0016787
FGSG_03123,6,0.43088729878173637,2.488447073559183,FGSG_00007;FGSG_03539;FGSG_03842;FGSG_08081;FGSG_08083;FGSG_13952,2,uncharacterized protein,
FGSG_05734,6,0.4218341704995936,2.4877093407599133,FGSG_02324;FGSG_02326;FGSG_02327;FGSG_02328;FGSG_02329;FGSG_11326,2,serine/threonine-protein kinase 24,GO:0004672;GO:0005524;GO:0005628;GO:0006468;GO:0030476
FGSG_00604,6,0.43784440749391124,2.4867489118205275,FGSG_02272;FGSG_02461;FGSG_03894;FGSG_05610;FGSG_08774;FGSG_09012,1,uncharacterized protein,GO:0004066;GO:0006529
FGSG_02591,6,0.448734280798531,2.485147689794972,FGSG_00743;FGSG_00765;FGSG_02272;FGSG_03894;FGSG_05610;FGSG_08774,1,uncharacterized protein,GO:0005634;GO:0006281;GO:0008081
