gene_id,DEG_black,l2fc_black,DEG_dark,l2fc_dark,DEG_low,l2fc_low
FGSG_11184,0,-0.130750062387736,1,2.41559659419212,1,1.81741599167053
FGSG_11191,0,-0.636313441531476,0,-0.166420263494996,0,0.177247875252038
FGSG_11206,0,0.0895157551723572,0,-0.143078128702142,0,-0.674965182651979
FGSG_11326,0,-0.655352449490999,1,1.86340185291139,1,2.05496066500552
FGSG_11350,0,0.0156956436461703,0,-0.670498634585884,0,0.0048531011775767
FGSG_11485,0,0.0166388746903889,0,0.0292053046413,0,-0.0074624409721074
FGSG_11487,0,-0.0168117976478403,1,3.1962895560702,1,1.46321418559411
FGSG_11548,0,0.001889978022092,0,0.0032483904214404,0,0.0585901257416919
FGSG_11657,0,-0.113008192352486,1,-2.63607703523908,1,-1.10887559272816
FGSG_11658,0,-0.149739345509834,0,-0.774216844109586,0,-0.493294803988286
FGSG_11659,0,0.0418323915704797,1,-1.09979266493846,0,0.118829034832541
FGSG_11660,0,0.215793942060444,0,-0.801076286989596,0,0.443530622692404
FGSG_12040,0,0.381668634751931,0,0.0052780744882542,0,-0.51622998739122
FGSG_12126,0,0.0018851734208218,0,0.0031990846097635,0,0.0578494547354942
FGSG_12127,0,,0,,0,
FGSG_12180,0,0.584581079488396,1,-1.18601845004199,1,-1.29078180880902
FGSG_12207,1,-1.75080993322173,1,-1.17968679698747,0,-0.352152010661164
FGSG_12211,1,-1.05701369651213,0,0.447845654453313,1,1.20656542484773
FGSG_12222,0,0.0382622352052107,0,-0.387927417251231,1,-2.72049901213074
FGSG_12223,0,0.118146004153277,1,-1.22497096657049,1,-1.91126294081168
FGSG_12857,0,-0.470373231591409,0,0.14841741700737,0,-0.0978762184564369
FGSG_12927,0,-0.435602290826277,1,-2.7457986244011,1,-1.49005804998887
FGSG_13136,0,0.366946666680564,0,-0.5282484998667,1,-1.2807232744787
FGSG_13188,0,0.108482093563086,0,0.0728536184787133,0,-0.306768840279463
FGSG_13219,0,-0.304538389539107,0,0.251124798068544,0,0.130197518485568
FGSG_13240,0,0.0158885032509949,0,0.0989535799729066,0,0.419819334882319
FGSG_13823,0,-0.521107724317323,0,-0.235761538435849,0,0.067652268252875
FGSG_13946,1,-1.03012281163938,0,-0.245930750748789,0,-0.603683766965198
FGSG_13952,1,-2.20008563598406,1,2.34425615795801,1,2.05363084490806
FGSG_14010,0,0.0017983680127086,0,0.0030979498926141,0,0.0490080316998113
