gene_id,product,black,dark,low,black_dir,dark_dir,low_dir,n_treatments,region
FGSG_00140,uncharacterized protein,1,0,1,down,,up,2,BL
FGSG_00145,uncharacterized protein,1,0,0,up,,,1,B
FGSG_00147,uncharacterized protein,0,0,1,,,up,1,L
FGSG_00150,uncharacterized protein,1,0,0,up,,,1,B
FGSG_00160,uncharacterized protein,0,1,0,,up,,1,D
FGSG_00162,uncharacterized protein,0,1,1,,down,down,2,DL
FGSG_00163,uncharacterized protein,0,0,1,,,up,1,L
FGSG_00171,uncharacterized protein,0,0,1,,,down,1,L
FGSG_00175,2-methylcitrate synthase,0,0,1,,,down,1,L
FGSG_00176,isocitrate lyase,0,0,1,,,down,1,L
FGSG_00198,uncharacterized protein,1,1,1,down,up,up,3,BDL
FGSG_00199,uncharacterized protein,0,1,1,,up,up,2,DL
FGSG_00206,uncharacterized protein,0,0,1,,,up,1,L
FGSG_00209,uncharacterized protein,0,1,0,,up,,1,D
FGSG_00217,uncharacterized protein,1,0,1,down,,down,2,BL
FGSG_00218,uncharacterized protein,0,0,1,,,down,1,L
FGSG_00221,uncharacterized protein,1,1,1,down,up,up,3,BDL
FGSG_00224,uncharacterized protein,0,1,0,,down,,1,D
FGSG_00226,uncharacterized protein,0,1,0,,down,,1,D
FGSG_00227,uncharacterized protein,0,1,1,,down,down,2,DL
FGSG_00229,uncharacterized protein,0,0,1,,,up,1,L
FGSG_00231,uncharacterized protein,0,0,1,,,down,1,L
FGSG_00236,uncharacterized protein,0,0,1,,,up,1,L
FGSG_00237,uncharacterized protein,1,0,0,up,,,1,B
FGSG_00239,uncharacterized protein,0,0,1,,,down,1,L
FGSG_00247,uncharacterized protein,1,0,0,up,,,1,B
FGSG_00260,uncharacterized protein,1,1,1,up,down,down,3,BDL
FGSG_00262,uncharacterized protein,0,1,0,,up,,1,D
FGSG_00267,uncharacterized protein,1,1,1,up,up,up,3,BDL
FGSG_00268,uncharacterized protein,1,0,0,up,,,1,B
FGSG_00278,biotin synthase,0,0,1,,,down,1,L
FGSG_00279,uncharacterized protein,0,0,1,,,down,1,L
FGSG_00285,uncharacterized protein,0,1,1,,down,down,2,DL
FGSG_00288,uncharacterized protein,0,0,1,,,up,1,L
FGSG_00293,uncharacterized protein,0,0,1,,,up,1,L
FGSG_00294,uncharacterized protein,0,1,0,,down,,1,D
FGSG_00295,uncharacterized protein,0,1,1,,up,up,2,DL
FGSG_00321,uncharacterized protein,0,1,1,,down,down,2,DL
FGSG_00322,uncharacterized protein,0,1,1,,down,down,2,DL
FGSG_00330,acetyl-coenzyme A synthetase,0,1,1,,down,down,2,DL
FGSG_00331,uncharacterized protein,0,0,1,,,up,1,L
FGSG_00342,uncharacterized protein,0,0,1,,,up,1,L
FGSG_00347,uncharacterized protein,1,1,1,up,down,down,3,BDL
FGSG_00351,uncharacterized protein,1,1,1,down,down,down,3,BDL
FGSG_00365,DNA-directed RNA polymerases I and III 40 kDa polypeptide,1,0,0,up,,,1,B
FGSG_00392,uncharacterized protein,0,1,1,,up,up,2,DL
FGSG_00404,uncharacterized protein,0,0,1,,,up,1,L
FGSG_00406,uncharacterized protein,0,1,1,,down,down,2,DL
FGSG_00415,uncharacterized protein,0,0,1,,,up,1,L
FGSG_00416,uncharacterized protein,0,1,0,,down,,1,D
FGSG_00422,uncharacterized protein,0,1,0,,down,,1,D
FGSG_00426,uncharacterized protein,1,0,0,up,,,1,B
FGSG_00433,uncharacterized protein,1,0,0,up,,,1,B
FGSG_00443,uncharacterized protein,0,1,1,,down,down,2,DL
FGSG_00447,uncharacterized protein,0,0,1,,,down,1,L
FGSG_00457,uncharacterized protein,0,1,1,,up,up,2,DL
FGSG_00465,uncharacterized protein,0,0,1,,,down,1,L
FGSG_00469,serine/threonine-protein kinase psk1,1,0,0,up,,,1,B
FGSG_00470,uncharacterized protein,0,1,1,,up,up,2,DL
FGSG_00483,uncharacterized protein,1,1,1,up,down,down,3,BDL
FGSG_00486,uncharacterized protein,0,1,0,,down,,1,D
FGSG_00487,uncharacterized protein,0,1,1,,down,down,2,DL
FGSG_00489,uncharacterized protein,0,1,1,,down,down,2,DL
FGSG_00492,uncharacterized protein,0,0,1,,,down,1,L
FGSG_00497,uncharacterized protein,0,0,1,,,down,1,L
FGSG_00517,uncharacterized protein,0,1,1,,down,down,2,DL
FGSG_00523,uncharacterized protein,0,0,1,,,up,1,L
FGSG_00525,uncharacterized protein,0,0,1,,,up,1,L
FGSG_00527,uncharacterized protein,0,0,1,,,up,1,L
FGSG_00531,uncharacterized protein,0,1,0,,down,,1,D
FGSG_00543,uncharacterized protein,0,0,1,,,up,1,L
FGSG_00554,uncharacterized protein,0,1,0,,up,,1,D
FGSG_00565,uncharacterized protein,0,0,1,,,up,1,L
FGSG_00572,uncharacterized protein,1,0,0,down,,,1,B
FGSG_00576,uncharacterized protein,1,0,0,up,,,1,B
FGSG_00578,general stress protein 39,1,1,1,up,up,down,3,BDL
FGSG_00586,uncharacterized protein,0,0,1,,,up,1,L
FGSG_00588,uncharacterized protein,1,0,0,up,,,1,B
