gene_id,FGSG_id,product,baseMean,log2FoldChange,lfcSE,pvalue,padj,significant,direction,contrast
FGSG_12174,FGSG_12174,uncharacterized protein,401.727180373334,-1.61926260777962,0.132555741574995,2.05061575645345e-35,1.63306283792923e-33,True,up_in_dark_light,low_light_vs_dark_light
FGSG_03175,FGSG_03175,uncharacterized protein,779.022554326787,-1.03287673245249,0.0843501512592255,2.281216382041e-35,1.80363798839069e-33,True,up_in_dark_light,low_light_vs_dark_light
FGSG_03071,FGSG_03071,uncharacterized protein,338.858594742226,-1.83384618553001,0.150395138581996,2.62353056883501e-35,2.05947149653549e-33,True,up_in_dark_light,low_light_vs_dark_light
FGSG_01031,FGSG_01031,uncharacterized protein,1722.43194856062,-1.38056589270004,0.11323082613583,3.05195219819369e-35,2.378791110507e-33,True,up_in_dark_light,low_light_vs_dark_light
FGSG_00217,FGSG_00217,uncharacterized protein,317.208340409515,-1.29864868484091,0.106542772797171,3.4377164036892404e-35,2.66059882229189e-33,True,up_in_dark_light,low_light_vs_dark_light
FGSG_02881,FGSG_02881,catalase,515.161698328968,-1.02239458388924,0.0845641679505487,1.57616872510364e-34,1.21133526495727e-32,True,up_in_dark_light,low_light_vs_dark_light
FGSG_09639,FGSG_09639,pyridoxamine 5'-phosphate oxidase,1652.44132562883,-1.93053508154384,0.161947804944861,5.62580854290292e-34,4.26397488872435e-32,True,up_in_dark_light,low_light_vs_dark_light
FGSG_10224,FGSG_10224,uncharacterized protein,9149.99343667342,-1.31549045032378,0.109974940960471,9.34221026071567e-34,6.98441433777315e-32,True,up_in_dark_light,low_light_vs_dark_light
FGSG_01848,FGSG_01848,uncharacterized protein,2726.77459379932,-1.7785203798338,0.149579481917898,9.58597952195608e-34,7.11823749637144e-32,True,up_in_dark_light,low_light_vs_dark_light
FGSG_08743,FGSG_08743,uncharacterized protein,700.347177296895,-1.90793208793745,0.160569360544479,1.01844631650211e-33,7.511895985475301e-32,True,up_in_dark_light,low_light_vs_dark_light
FGSG_11757,FGSG_11757,uncharacterized protein,9621.70914292693,-1.50026675549852,0.126479930631603,1.3162118916728199e-33,9.64344579298955e-32,True,up_in_dark_light,low_light_vs_dark_light
FGSG_08911,FGSG_08911,uncharacterized protein,180.078989292899,1.53553880096875,0.130225755091417,3.43110452648482e-33,2.49720786397803e-31,True,up_in_low_light,low_light_vs_dark_light
FGSG_11079,FGSG_11079,uncharacterized protein,509.99238902951,-1.15819389877734,0.098015420185615,3.6273009584643596e-33,2.62263404825811e-31,True,up_in_dark_light,low_light_vs_dark_light
FGSG_12490,FGSG_12490,uncharacterized protein,128.306945427676,-1.95885581050937,0.166397909036851,3.81887597591295e-33,2.7431011094956403e-31,True,up_in_dark_light,low_light_vs_dark_light
FGSG_10609,FGSG_10609,uncharacterized protein,92.4227167809138,2.15740676336846,0.18329945615053,4.0931862135750695e-33,2.9210465251422103e-31,True,up_in_low_light,low_light_vs_dark_light
FGSG_05871,FGSG_05871,uncharacterized protein,115.241428734255,2.18379994605585,0.186638310623687,1.07156278168315e-32,7.5977257875469605e-31,True,up_in_low_light,low_light_vs_dark_light
FGSG_00805,FGSG_00805,uncharacterized protein,224.809697082507,-1.58957182846263,0.135770991285551,1.12525014957511e-32,7.92724304091695e-31,True,up_in_dark_light,low_light_vs_dark_light
FGSG_11505,FGSG_11505,uncharacterized protein,55.2131411202702,3.6008566073073,0.308364266801898,1.46344391543443e-32,1.0244107408041e-30,True,up_in_low_light,low_light_vs_dark_light
FGSG_01977,FGSG_01977,uncharacterized protein,473.86970504152,1.17482913640479,0.100819902606152,2.50577060409653e-32,1.7319760339006797e-30,True,up_in_low_light,low_light_vs_dark_light
FGSG_03544,FGSG_03544,uncharacterized protein,3136.9574173526,-1.01460426323714,0.0870548142183493,2.95794038064014e-32,2.0317352989521898e-30,True,up_in_dark_light,low_light_vs_dark_light
FGSG_07743,FGSG_07743,uncharacterized protein,258.937691829519,-2.87318775633513,0.246848237599438,4.27011923089314e-32,2.89682779922936e-30,True,up_in_dark_light,low_light_vs_dark_light
FGSG_02281,FGSG_02281,uncharacterized protein,730.16662108504,-2.50209031931936,0.215975998752965,6.50047523934692e-32,4.3561111512452796e-30,True,up_in_dark_light,low_light_vs_dark_light
FGSG_06564,FGSG_06564,uncharacterized protein,302.884442592555,-4.22144194603407,0.361041079668076,6.67492487501401e-32,4.4459045076608495e-30,True,up_in_dark_light,low_light_vs_dark_light
FGSG_03257,FGSG_03257,uncharacterized protein,75.3786996668115,-3.10843675325803,0.26848748258141,7.410066877392861e-32,4.90582138449081e-30,True,up_in_dark_light,low_light_vs_dark_light
FGSG_07152,FGSG_07152,uncharacterized protein,2660.38332875166,-1.7053190622078,0.148358558753649,1.02849112148636e-31,6.768333787506019e-30,True,up_in_dark_light,low_light_vs_dark_light
FGSG_04058,FGSG_04058,uncharacterized protein,357.928914207443,-1.88075877886101,0.164132133692552,1.4892302505218702e-31,9.74204788883057e-30,True,up_in_dark_light,low_light_vs_dark_light
FGSG_03067,FGSG_03067,uncharacterized protein,81.5033437085861,-6.35178360460063,0.543891630262405,2.7393993141085503e-31,1.77094108600311e-29,True,up_in_dark_light,low_light_vs_dark_light
FGSG_01298,FGSG_01298,uncharacterized protein,445.399842366341,1.33816096700234,0.117434503806854,4.2133626731295e-31,2.70788630278908e-29,True,up_in_low_light,low_light_vs_dark_light
FGSG_03372,FGSG_03372,uncharacterized protein,86.6419809996555,-2.11086188795433,0.185745024466583,4.928368787413441e-31,3.13079612564588e-29,True,up_in_dark_light,low_light_vs_dark_light
FGSG_03720,FGSG_03720,uncharacterized protein,55.1256458939199,-3.80952636112516,0.336035773783314,1.4449880705424398e-30,9.12667752601229e-29,True,up_in_dark_light,low_light_vs_dark_light
FGSG_10389,FGSG_10389,uncharacterized protein,2481.28223527072,-1.02553427606193,0.0908144151846721,1.5197825269019e-30,9.5442342689439e-29,True,up_in_dark_light,low_light_vs_dark_light
FGSG_02433,FGSG_02433,uncharacterized protein,822.488832409471,-1.05633091733207,0.0934264223932741,1.53274002425849e-30,9.57091640147771e-29,True,up_in_dark_light,low_light_vs_dark_light
FGSG_00404,FGSG_00404,uncharacterized protein,72.6690795330364,2.51724191847209,0.223700898821902,2.0296485610387798e-30,1.26021681840769e-28,True,up_in_low_light,low_light_vs_dark_light
FGSG_04353,FGSG_04353,uncharacterized protein,119.70271284354,-2.02360813925855,0.180590523100285,2.3805602823968697e-30,1.46979536536751e-28,True,up_in_dark_light,low_light_vs_dark_light
FGSG_02955,FGSG_02955,uncharacterized protein,71.9809560791307,-6.49193337253482,0.56387857055266,2.6011832719023598e-30,1.58816689767816e-28,True,up_in_dark_light,low_light_vs_dark_light
FGSG_04143,FGSG_04143,uncharacterized protein,407.431278510303,1.02881402599957,0.0913083197647925,3.21272046801045e-30,1.9507070686980599e-28,True,up_in_low_light,low_light_vs_dark_light
FGSG_08749,FGSG_08749,uncharacterized protein,61.7423881464199,-2.98790635333226,0.266546239605028,3.48757641773465e-30,2.10595960609362e-28,True,up_in_dark_light,low_light_vs_dark_light
FGSG_06738,FGSG_06738,uncharacterized protein,172.199645891821,-1.50844623896583,0.13470368072851,3.9118460553618395e-30,2.34924525401238e-28,True,up_in_dark_light,low_light_vs_dark_light
FGSG_03984,FGSG_03984,uncharacterized protein,935.525153272526,-1.47562852090676,0.132000048846088,4.19389999891466e-30,2.50494353196044e-28,True,up_in_dark_light,low_light_vs_dark_light
FGSG_06969,FGSG_06969,uncharacterized protein,744.25991787346,-1.23940230399692,0.110797329436936,4.52379275710472e-30,2.68737742705843e-28,True,up_in_dark_light,low_light_vs_dark_light
FGSG_10498,FGSG_10498,uncharacterized protein,146.97839441652,-1.89450344157325,0.169870961553234,7.35291904478039e-30,4.32131445465971e-28,True,up_in_dark_light,low_light_vs_dark_light
FGSG_00586,FGSG_00586,uncharacterized protein,259.944302080857,1.34409087389617,0.120923734274101,9.58602295220091e-30,5.57409482776127e-28,True,up_in_low_light,low_light_vs_dark_light
FGSG_03518,FGSG_03518,uncharacterized protein,3524.89339757047,1.14765197015926,0.103644583574261,1.84079792504354e-29,1.06475627348571e-27,True,up_in_low_light,low_light_vs_dark_light
FGSG_04902,FGSG_04902,uncharacterized protein,397.132911621222,-1.16570884576399,0.106581948220188,7.92935054338879e-29,4.53872721207514e-27,True,up_in_dark_light,low_light_vs_dark_light
FGSG_10472,FGSG_10472,uncharacterized protein,45.9629403768221,-3.85536145214543,0.352256762869417,1.18106776466375e-28,6.69068800703845e-27,True,up_in_dark_light,low_light_vs_dark_light
FGSG_02432,FGSG_02432,uncharacterized protein,86.2957319577261,-7.36302084682461,0.66164056776091,2.87851559817086e-28,1.62230186789219e-26,True,up_in_dark_light,low_light_vs_dark_light
FGSG_05035,FGSG_05035,pyridoxine biosynthesis protein PDX1,417.095412915481,-1.47983888681917,0.136800213915587,3.3719481857858397e-28,1.8811020589739298e-26,True,up_in_dark_light,low_light_vs_dark_light
FGSG_06658,FGSG_06658,uncharacterized protein,1740.13022009859,1.04637399016757,0.0975018122769941,8.07309049003162e-28,4.45845550178128e-26,True,up_in_low_light,low_light_vs_dark_light
FGSG_06630,FGSG_06630,uncharacterized protein,400.119690355399,-1.16463496656746,0.108788713461056,9.615303576920419e-28,5.28360931551777e-26,True,up_in_dark_light,low_light_vs_dark_light
FGSG_11080,FGSG_11080,uncharacterized protein,177.832173461093,-1.55901240368546,0.146195453815157,1.13919654384522e-27,6.22874130191987e-26,True,up_in_dark_light,low_light_vs_dark_light
FGSG_12224,FGSG_12224,uncharacterized protein,231.561570990459,1.27259063741571,0.119871161245911,2.61742706535024e-27,1.42403581426729e-25,True,up_in_low_light,low_light_vs_dark_light
FGSG_04932,FGSG_04932,uncharacterized protein,171.620417991263,1.43882199722878,0.135896209806606,3.16002412677352e-27,1.7107716824256702e-25,True,up_in_low_light,low_light_vs_dark_light
FGSG_00497,FGSG_00497,uncharacterized protein,184.417200209451,-1.60082260723574,0.151831924129402,4.60407218691778e-27,2.48033104579541e-25,True,up_in_dark_light,low_light_vs_dark_light
FGSG_04735,FGSG_04735,uncharacterized protein,2913.07496582568,-1.12664485814098,0.106872985891558,4.72791297858076e-27,2.5346226163220704e-25,True,up_in_dark_light,low_light_vs_dark_light
FGSG_09373,FGSG_09373,uncharacterized protein,1832.10444573162,-1.20024841676981,0.113706726102961,9.30864095551361e-27,4.96611476218906e-25,True,up_in_dark_light,low_light_vs_dark_light
FGSG_08878,FGSG_08878,uncharacterized protein,762.915808887839,1.2263176892022,0.116886845800955,9.624932776309399e-27,5.11004885080388e-25,True,up_in_low_light,low_light_vs_dark_light
FGSG_05695,FGSG_05695,uncharacterized protein,106.16285370698,-2.04870841445971,0.195614209712333,1.20142205994574e-26,6.34789828788638e-25,True,up_in_dark_light,low_light_vs_dark_light
FGSG_03686,FGSG_03686,cytochrome P450 61,93.6606941230883,-1.78443558271638,0.171890436567677,2.22004947718238e-26,1.16182589305878e-24,True,up_in_dark_light,low_light_vs_dark_light
FGSG_10303,FGSG_10303,uncharacterized protein,536.298879077478,-1.16963529807883,0.11310242063263,5.05748845890874e-26,2.60947409217873e-24,True,up_in_dark_light,low_light_vs_dark_light
FGSG_12368,FGSG_12368,uncharacterized protein,105.732867752193,-2.08758916381968,0.20297587797325,5.83731931457858e-26,2.9977635171597502e-24,True,up_in_dark_light,low_light_vs_dark_light
FGSG_10656,FGSG_10656,uncharacterized protein,289.168821183147,-1.1440867229843,0.111028508805292,6.54201501542841e-26,3.3285530101647304e-24,True,up_in_dark_light,low_light_vs_dark_light
FGSG_13190,FGSG_13190,uncharacterized protein,383.147212291183,-1.22387836124832,0.118808930818766,6.62836407962132e-26,3.35694567903403e-24,True,up_in_dark_light,low_light_vs_dark_light
FGSG_03244,FGSG_03244,uncharacterized protein,364.702500874756,1.33019412710117,0.129380574370957,7.710342671944469e-26,3.88700302590228e-24,True,up_in_low_light,low_light_vs_dark_light
FGSG_07386,FGSG_07386,uncharacterized protein,1191.48788650444,-2.67438933958534,0.262598235944092,1.26977669028691e-25,6.34311173920599e-24,True,up_in_dark_light,low_light_vs_dark_light
FGSG_04071,FGSG_04071,uncharacterized protein,704.5687382756,-1.11732717756497,0.10905254000479,1.34434079795206e-25,6.68520604954439e-24,True,up_in_dark_light,low_light_vs_dark_light
FGSG_11233,FGSG_11233,uncharacterized protein,329.235994418181,-1.57552772757629,0.154141259569539,1.4725254603431e-25,7.28966432845525e-24,True,up_in_dark_light,low_light_vs_dark_light
FGSG_03708,FGSG_03708,uncharacterized protein,5458.58250470583,1.0541981743932,0.103200740637038,2.07355398996649e-25,1.0218994775664401e-23,True,up_in_low_light,low_light_vs_dark_light
FGSG_01255,FGSG_01255,uncharacterized protein,56.517379141907,-2.94601986015898,0.289699918460466,3.405641239286e-25,1.6634665431001402e-23,True,up_in_dark_light,low_light_vs_dark_light
FGSG_12184,FGSG_12184,uncharacterized protein,1572.2537674159,-2.54622471604148,0.253665094275885,5.6704118870921e-25,2.74527870657014e-23,True,up_in_dark_light,low_light_vs_dark_light
FGSG_01496,FGSG_01496,uncharacterized protein,784.699941869726,1.03951993571897,0.102772789565783,5.99928990901891e-25,2.87913520087851e-23,True,up_in_low_light,low_light_vs_dark_light
FGSG_12172,FGSG_12172,uncharacterized protein,292.366647761051,-1.06301939495999,0.105842469322756,9.2578862796364e-25,4.40450953303913e-23,True,up_in_dark_light,low_light_vs_dark_light
FGSG_05324,FGSG_05324,uncharacterized protein,191.100783592453,1.39602805783815,0.139160481759656,1.0033270476257e-24,4.75282941957173e-23,True,up_in_low_light,low_light_vs_dark_light
FGSG_09060,FGSG_09060,uncharacterized protein,85.8153119961247,-4.67327882895258,0.46124638900428,1.1046709888571e-24,5.2104438487293904e-23,True,up_in_dark_light,low_light_vs_dark_light
FGSG_03922,FGSG_03922,uncharacterized protein,333.467908505646,1.41030814533498,0.141360780393175,1.45743074734662e-24,6.844941843307431e-23,True,up_in_low_light,low_light_vs_dark_light
FGSG_10529,FGSG_10529,uncharacterized protein,97.7575318154709,-1.83239553501928,0.183615264854143,1.4821159760303e-24,6.90188753244618e-23,True,up_in_dark_light,low_light_vs_dark_light
FGSG_05754,FGSG_05754,uncharacterized protein,405.814141872565,1.24252144957625,0.124282609293844,1.60751331303676e-24,7.45424949800592e-23,True,up_in_low_light,low_light_vs_dark_light
FGSG_03369,FGSG_03369,uncharacterized protein,211.848901871946,-1.39619117375981,0.140197035768725,2.64717517590654e-24,1.21725753904656e-22,True,up_in_dark_light,low_light_vs_dark_light
FGSG_13993,FGSG_13993,uncharacterized protein,313.675762996068,1.1543793113585,0.116157668234533,3.25335745429985e-24,1.4835849967948298e-22,True,up_in_low_light,low_light_vs_dark_light
